model,outer_repeat,outer_fold,n_test,events_test,AUC,AUPRC,Brier,Log loss,Calibration intercept,Calibration slope
elastic_net,6,4,36,10,0.5423076923076924,0.39807100751655156,0.21355524720407834,0.6189645739636567,-0.7195676705223069,0.2698527904402911
elastic_net,6,5,36,10,0.6384615384615385,0.4235786101375938,0.20130905236100397,0.5796863478749598,-0.31075405118689453,0.5737243056411189
elastic_net,7,1,37,11,0.7692307692307692,0.608933304934235,0.1707761396004538,0.5060224579177501,0.29445497281701666,1.4416087617257614
elastic_net,7,2,36,11,0.5672727272727273,0.4794959211754878,0.21116000287006656,0.6205605057974057,-0.30541410949270564,0.4853872467567873
elastic_net,7,3,36,10,0.6038461538461538,0.47397031039136295,0.19498230593727398,0.579713950831986,-0.28266903147921446,0.5952621561711504
elastic_net,7,4,36,10,0.85,0.7459053265575004,0.14028178644528772,0.44369860676990514,0.9764645980842146,2.2525392611462602
elastic_net,7,5,36,10,0.6000000000000001,0.37381725338819155,0.20511408106405452,0.5897262387812028,-0.5252971795346342,0.5212647894344953
elastic_net,8,1,37,11,0.6888111888111889,0.5135919746019798,0.18878517843989115,0.5566820018040524,-0.12331172416605635,0.9588829990650298
elastic_net,8,2,36,11,0.5090909090909091,0.45999703363107225,0.22493238747132155,0.6624018905673091,-0.6292968333269132,0.1957100884053841
elastic_net,8,3,36,10,0.7038461538461538,0.5947980400205009,0.17807815202933291,0.5322300024146821,-0.16259136851328637,0.8453447273899107
elastic_net,8,4,36,10,0.7730769230769231,0.5307354497354497,0.17724896306741642,0.5265538046368989,0.3504963590301885,1.150908256688898
elastic_net,8,5,36,10,0.573076923076923,0.3880991080642783,0.20126072029781605,0.5932205040219405,-0.553681401044898,0.47184621253404585
elastic_net,9,1,37,11,0.7097902097902098,0.4676741930892139,0.19151507127912107,0.5539410489578506,0.09215745151327988,0.8880199725929089
elastic_net,9,2,36,11,0.7345454545454545,0.6040494925064304,0.18184201810601,0.5402190778804135,0.4416244643321398,1.4539674799321538
elastic_net,9,3,36,10,0.6230769230769231,0.5158575028757584,0.19514033847157697,0.5809955492525888,-0.40683732140059853,0.587096803257619
elastic_net,9,4,36,10,0.6653846153846154,0.5151648297569903,0.18514572705185542,0.5545255093710746,-0.1651869561846761,0.7846249967110123
elastic_net,9,5,36,10,0.7538461538461538,0.575,0.16891039146343692,0.5142791741112447,0.014877589862882639,1.406742662561831
elastic_net,10,1,37,11,0.8146853146853147,0.7145255813705013,0.16298460976817428,0.49481524064376464,0.6815505496763241,1.7723591899837243
elastic_net,10,2,36,11,0.7927272727272727,0.7091783216783216,0.15776902402449527,0.48177224807942626,0.5511612284165164,1.4215806461862692
elastic_net,10,3,36,10,0.6884615384615385,0.4412000473166175,0.18892959167592277,0.5579072122716969,-0.018448348731029535,1.208207205715115
elastic_net,10,4,36,10,0.5423076923076923,0.38278953889248,0.21630452610962422,0.6335861694926128,-0.7466004075638227,0.21378190617487944
