outer_repeat,outer_fold,model,C,l1_ratio,mean_inner_log_loss,se_inner_log_loss,mean_n_selected
1,2,elastic_net,0.01,0.8,0.6150587295183173,0.009342127390106002,0.0
1,2,elastic_net,0.005,0.5,0.6169427201104555,0.008808730210627185,0.0
1,2,elastic_net,0.002,0.2,0.619836286185864,0.009007022973722413,0.0
1,2,elastic_net,0.005,0.8,0.6244631121849777,0.004884228564728562,0.0
1,2,elastic_net,0.002,0.8,0.6252002475475791,0.004805569608941836,0.0
1,2,elastic_net,0.001,0.8,0.6263922291441472,0.004689274368551634,0.0
1,2,elastic_net,0.002,0.5,0.626972456269135,0.004635361690316489,0.0
1,2,elastic_net,0.001,0.5,0.6297698775952723,0.004379894281132192,0.0
1,2,elastic_net,0.001,0.2,0.6328594932918061,0.00412475301185604,0.0
1,2,lasso,1.0,,0.5388495305801746,0.030845551963716394,9.2
1,2,lasso,0.5,,0.5413403864223725,0.02578687463220025,9.0
1,2,lasso,2.0,,0.5429419608891084,0.03775571437696869,9.6
1,2,lasso,5.0,,0.5476769929735857,0.043550820277494205,9.8
1,2,lasso,10.0,,0.549607216968411,0.045892206802216395,10.0
1,2,lasso,0.2,,0.5675610779604642,0.017217578227376573,5.6
1,2,lasso,0.1,,0.5926145636829324,0.007318957982372597,1.6
1,2,lasso,0.05,,0.5965941963219642,0.006200209692321615,0.0
1,2,lasso,0.02,,0.5984640414512243,0.007155547385726745,0.0
1,2,lasso,0.01,,0.6085109941651197,0.006328822055703645,0.0
1,2,lasso,0.005,,0.6104048800463634,0.005298742955837881,0.0
1,2,lasso,0.001,,0.6104120194325937,0.005294345097721568,0.0
1,2,lasso,0.002,,0.6104120293842539,0.005294352751144393,0.0
1,3,ridge,0.2,,0.5543081683605505,0.02258342483818348,10.0
1,3,ridge,0.5,,0.5560652102897932,0.027535049068057683,10.0
1,3,ridge,0.1,,0.5575401613002557,0.018332840265097218,10.0
1,3,ridge,1.0,,0.5594635045076473,0.030290857554643922,10.0
1,3,ridge,2.0,,0.5627532614881977,0.032188738645258105,10.0
1,3,ridge,0.05,,0.5653107379282318,0.014299201775681142,10.0
1,3,ridge,5.0,,0.5658851119838482,0.03372334122800938,10.0
