model,outer_repeat,outer_fold,C,l1_ratio,n_selected,inner_mean_log_loss,inner_se_log_loss
ridge,8,2,0.1,,10,0.5337321718376615,0.03321871900643478
elastic_net,8,2,0.2,0.2,10,0.5377174606349011,0.039858443673081265
lasso,8,2,0.5,,9,0.5465619987484318,0.04743449870596914
ridge,8,3,0.2,,10,0.5526474462561953,0.02503048800160015
elastic_net,8,3,0.5,0.2,10,0.5574795436616047,0.03166537780272191
lasso,8,3,1.0,,9,0.5628551631130762,0.03421486530062303
ridge,8,4,0.2,,10,0.5544187623846023,0.04044232294595281
elastic_net,8,4,0.5,0.8,8,0.5552491258024645,0.03769609371036424
lasso,8,4,0.5,,8,0.5553443238518578,0.03581229672374136
ridge,8,5,0.1,,10,0.5543197857908888,0.0165117433828413
elastic_net,8,5,0.2,0.2,10,0.5625116096308773,0.02101743989502406
lasso,8,5,0.5,,8,0.5738366876057129,0.0267187959574435
ridge,9,1,0.2,,10,0.5580087524468411,0.03177822320549191
elastic_net,9,1,0.2,0.2,10,0.5643639576307296,0.026821656984347242
lasso,9,1,1.0,,9,0.5773994956178553,0.04248807047550003
ridge,9,2,0.1,,10,0.5557297041660206,0.025290527881389416
elastic_net,9,2,0.2,0.2,9,0.562191801956795,0.02947502323021306
lasso,9,2,0.5,,8,0.5745669434114357,0.03367618864620302
ridge,9,3,0.1,,10,0.5603424109593382,0.03571897660457613
elastic_net,9,3,0.2,0.2,8,0.5628464537643298,0.04005023529003472
lasso,9,3,0.2,,7,0.5669396930345721,0.015143645275656717
ridge,9,4,0.2,,10,0.5380999295327434,0.028713243526104663
elastic_net,9,4,0.2,0.2,10,0.5434739717339662,0.026365185361254113
lasso,9,4,0.5,,9,0.554352331317349,0.03348922550734377
ridge,9,5,0.1,,10,0.5631354124866377,0.006511094425236568
elastic_net,9,5,0.2,0.2,10,0.5718158670424716,0.009013798016430987
lasso,9,5,1.0,,10,0.5855795015339271,0.019239792099908507
ridge,10,1,0.1,,10,0.5684736672084026,0.012112313501533085
elastic_net,10,1,0.2,0.2,10,0.5694602083332427,0.01303194669552814
lasso,10,1,0.5,,8,0.5723204174418525,0.013118060873125639
ridge,10,2,0.1,,10,0.5518367424899647,0.01103542611777419
elastic_net,10,2,0.5,0.2,10,0.5585406351235778,0.014324321721427552
lasso,10,2,1.0,,10,0.5640978622309177,0.014829103370015001
ridge,10,3,0.05,,10,0.5888001794806756,0.024845775806137418
elastic_net,10,3,0.2,0.8,8,0.590766677658428,0.018161304394877446
lasso,10,3,0.2,,7,0.5938292609627068,0.017833932851133178
ridge,10,4,0.2,,10,0.5187730037544184,0.0331952012839681
elastic_net,10,4,0.2,0.2,9,0.5245860005080252,0.028052774880518026
lasso,10,4,0.5,,8,0.5360597595796669,0.030461884541824715
ridge,10,5,0.05,,10,0.561393539612906,0.019951087712017288
elastic_net,10,5,0.2,0.5,8,0.5640127477977767,0.022637158108126255
lasso,10,5,0.5,,8,0.5675883360078727,0.029603218374824648
