bootstrap,C,apparent_AUC,test_AUC,optimism_AUC,apparent_AUPRC,test_AUPRC,optimism_AUPRC,apparent_Brier,test_Brier,optimism_Brier,apparent_Log loss,test_Log loss,optimism_Log loss
44,0.1,0.8035460992907801,0.7514907573047108,0.052055341986069315,0.6051311907267922,0.5820404362711941,0.02309075445559816,0.135790046622438,0.1740268988377085,-0.03823685221527051,0.4240322933732338,0.5186184299354374,-0.0945861365622036
45,0.1,0.7349924585218703,0.716159809183065,0.018832649338805352,0.5749173134065458,0.4859792682846652,0.08893804512188064,0.17217235602358627,0.18354898319125149,-0.011376627167665215,0.518822996176253,0.5470104534379554,-0.028187457261702353
46,0.05,0.7907291949037679,0.7289803220035779,0.061748872900190044,0.6684768094275747,0.5488658918349798,0.1196109175925949,0.1828897216721165,0.18008797583118755,0.0028017458409289597,0.5424260172977386,0.5395525730513319,0.0028734442464067866
47,0.01,0.8174045801526717,0.7453786523553965,0.07202592779727524,0.614815918168898,0.5512468347986679,0.06356908337023015,0.18007261569070407,0.18835590690287393,-0.008283291212169863,0.5399554132818754,0.5588842371367094,-0.018928823854834076
48,0.02,0.7600452744765138,0.6984197972570065,0.061625477219507285,0.5737524288296485,0.4654308589583612,0.10832156987128727,0.18960176712012608,0.18958605289224656,1.5714227879520815e-05,0.5602650825982008,0.5622492334255648,-0.0019841508273639175
49,0.05,0.7844274809160305,0.7517889087656529,0.03263857215037769,0.5977980388802195,0.5989498552644927,-0.0011518163842731965,0.16563887156379728,0.1726643265993803,-0.0070254550355830225,0.5015073822651903,0.520455486150004,-0.018948103884813716
50,0.1,0.8463203463203464,0.7580500894454383,0.08827025687490808,0.6966801036592148,0.5726363147162279,0.12404378894298695,0.15112576386461832,0.1701228279725679,-0.018997064107949574,0.4618091806187238,0.5084093884193892,-0.04660020780066543
51,0.1,0.8162321278385197,0.746273106738223,0.06995902110029673,0.7373568315639412,0.550121713099288,0.18723511846465313,0.1564743802677813,0.1755870633314701,-0.019112683063688796,0.4820979764311335,0.5289556489993515,-0.046857672568218045
52,0.1,0.8387284922717994,0.7042337507453786,0.1344947415264207,0.761865458536686,0.5579240816569561,0.2039413768797299,0.14212242665704852,0.17703986793684437,-0.03491744127979585,0.44785756911996427,0.5368358561783636,-0.08897828705839933
53,0.1,0.7711864406779662,0.7233154442456768,0.047870996432289314,0.590092709544888,0.537399904461739,0.052692805083149,0.18684849857042998,0.17813698545775442,0.008711513112675567,0.5477154013538442,0.5308994349691575,0.016815966384686742
54,0.02,0.7222959522229595,0.6999105545617174,0.022385397661242146,0.5829517749483782,0.5489083924973504,0.03404338245102789,0.16396147476314038,0.18972753577275903,-0.025766061009618646,0.5040132320016741,0.5614281344786564,-0.05741490247698222
55,0.2,0.8136982065553494,0.757453786523554,0.05624442003179542,0.7006073904402034,0.6116641050030653,0.08894328543713803,0.1427499466035534,0.1676198610840302,-0.024869914480476818,0.4466629338754221,0.5075278258484456,-0.06086489197302347
56,0.1,0.7669887278582931,0.7341979725700657,0.03279075528822739,0.5503323370013841,0.5712447736070665,-0.020912436605682427,0.156950295960174,0.1744224101564228,-0.017472114196248778,0.477986569589577,0.5232074804753384,-0.045220910885761356
57,0.02,0.776843285674236,0.7130292188431724,0.06381406683106361,0.6899912857440168,0.5497056478312959,0.14028563791272086,0.18104696059330344,0.18158141957071927,-0.0005344589774158304,0.5435128514139616,0.5454883338735719,-0.0019754824596103226
58,0.1,0.8254285714285714,0.7337507453786524,0.09167782604991903,0.7548331716419397,0.5860625479011887,0.16877062374075102,0.14882494885444672,0.17047242987097683,-0.021647481016530107,0.4678325172908001,0.5201585184218241,-0.052326001131024036
59,0.01,0.7789312977099238,0.7139236732259988,0.06500762448392494,0.5560283557128961,0.5036216162222608,0.052406739490635346,0.18266744385335298,0.1911781091492452,-0.008510665295892228,0.5467884303704995,0.5665716116368799,-0.019783181266380345
60,0.05,0.7531914893617021,0.736881335718545,0.016310153643157133,0.5530307172273821,0.5911017662643498,-0.038071049036967786,0.15091407592729855,0.18356669076187707,-0.032652614834578514,0.4693740944737107,0.5462707506629828,-0.0768966561892721
61,0.05,0.7737238780404248,0.7322599880739415,0.0414638899664832,0.6175075863252539,0.5733878457107586,0.044119740614495306,0.1448644682588101,0.1785647619541148,-0.033700293695304695,0.45651976519100135,0.5344990061314736,-0.07797924094047226
62,0.001,0.7205673758865249,0.6736732259988074,0.04689414988771745,0.4678836778720348,0.5209320548691782,-0.053048376997143376,0.17085631331262052,0.2077871397767193,-0.03693082646409879,0.5244062123392038,0.6077683375113545,-0.08336212517215069
63,0.1,0.737874964956546,0.7322599880739415,0.005614976882604483,0.6522978590762134,0.581569069131725,0.07072878994448839,0.18045038186160978,0.17350594507106545,0.006944436790544323,0.5425595762794494,0.5246480243238902,0.017911551955559157
64,0.2,0.7660936973373778,0.7510435301132976,0.015050167224080147,0.6223289686135827,0.5722233788580563,0.05010558975552637,0.14375908314825894,0.17280266426308058,-0.029043581114821637,0.4510892885963265,0.5163347737689146,-0.06524548517258805
65,0.05,0.8337404580152671,0.6964818127608826,0.13725864525438447,0.7392572325008762,0.5603960529325925,0.17886117956828362,0.14087009075027707,0.17968507792453067,-0.03881498717425361,0.44635244067663016,0.5416713146611869,-0.09531887398455674
66,0.2,0.8385885885885886,0.727489564698867,0.1110990238897216,0.624006062294751,0.576003661631329,0.048002400663421985,0.11938010885553064,0.17756623175343852,-0.05818612289790788,0.37797061198251225,0.5404491846831482,-0.16247857270063593
67,0.05,0.7998102466793169,0.7513416815742396,0.048468565105077244,0.7458627671117724,0.5988754989666585,0.14698726814511387,0.17085441791036238,0.1724348110537664,-0.0015803931434040241,0.5191608462946916,0.5207276487013011,-0.0015668024066094466
68,0.05,0.7962857142857143,0.7231663685152058,0.07311934577050849,0.6894868955378602,0.5660944102863363,0.12339248525152391,0.16582507903788446,0.17765473228078427,-0.011829653242899807,0.5077756589371294,0.5339415801750557,-0.02616592123792627
